Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:6sD2mCUjmi0S3PTKxdW1Lc,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6WpZwkzyjINc6wDghg8Gzv,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,2,would definitely run red lights to this,cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:10wJ35whDsMVQ04fhkR5QS,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,-1,good remix,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,2,highway patrol better watch out,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,-2,Just didn’t really vibe with it at all. Sorry ,cac0a97113f342e387a36a7edf756fa1
spotify:track:10wJ35whDsMVQ04fhkR5QS,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,5,This made me speed on my way to work and it’s so fun!,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,-1,Felt it was fast for the sake of being fast and didn’t improve the original song. But still was nice!,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,1,"Classic, especially when people are rubbernecking ",cac0a97113f342e387a36a7edf756fa1
